"Індекси споживчих цін на на продукти харчування, алкогольні напої, тютюнові вироби у 2021 році по Україні1 ",,,,,,
(до попереднього місяця; відсотків),,,,,,
,,Липень,Серпень,Вересень,Жовтень,Листопад
49,Кілька солона,"100,4","99,8","101,0","101,0","101,0"
50,Скумбрія копчена,"100,3","101,0","100,5","101,9","100,7"
51,Оселедці,"102,3","99,3","102,8","100,7","101,2"
52,Консерви рибні в олії (250 г),"101,8","99,6","99,3","101,0","100,0"
53,Крабові палички (250 г),"100,9","100,0","100,3","100,1","102,3"
54,"Молоко пастеризоване жирністю до 2,6% включно","100,3","100,6","102,3","101,4","101,1"
55,Молоко з підвищеним вмістом жиру,"99,6","100,4","101,8","102,9","103,9"
56,Кефір,"100,8","100,8","101,5","101,4","101,8"
57,Йогурт (500 г),"100,3","99,7","101,8","102,3","101,7"
58,Сири тверді типу Едам,"99,6","99,4","100,8","102,1","102,8"
59,Сири тверді типу Емменталь,"98,3","99,6","102,0","101,8","99,1"
60,Сири розсольні,"100,3","100,0","101,9","100,5","101,8"
61,Сири плавлені (100 г),"100,1","99,5","102,6","100,7","100,0"
62,Сири м’які нежирні,"100,1","101,3","101,3","100,5","101,6"
63,Сири м’які жирні,"100,5","99,9","101,4","101,2","103,0"
64,Сирки та сиркова маса (100 г),"101,5","100,2","101,5","102,1","101,3"
65,Сметана жирністю до 15% включно,"101,1","100,9","101,5","101,8","102,0"
66,Сметана з підвищеним вмістом жиру,"100,1","100,7","101,5","102,1","101,3"
67,Яйця (десяток),"100,3","118,0","113,6","101,1","100,9"
68,Масло вершкове (200 г),"100,6","100,4","101,6","101,8","101,7"
69,Спреди (200 г),"100,5","101,1","102,0","102,9","101,7"
70,Маргарин (200 г),"102,3","101,1","98,7","100,5","100,7"
71,Олія оливкова,"99,7","101,8","98,8","101,2","100,2"
72,Олія соняшникова,"99,3","99,0","99,1","98,4","99,5"
73,Сало,"99,5","100,2","103,7","104,0","105,8"
74,Лимони,"108,1","101,1","107,9","79,6","85,5"
75,Апельсини,"102,4","116,9","116,9","104,8","91,3"
76,Банани,"89,2","84,5","103,9","113,7","102,6"
77,Яблука,"100,7","90,3","89,1","81,4","87,9"
78,Кісточкові,"98,0","92,8","94,5","93,5","92,4"
79,Виноград,"88,4","78,7","83,1","95,8","104,4"
80,Кавуни,"99,5","97,6","71,6","93,6","92,5"
81,Ківі,"117,3","103,4","96,4","76,2","73,8"
82,Сухофрукти,"102,0","101,8","100,6","104,8","103,7"
83,Салати,"95,4","99,5","108,3","102,5","101,9"
84,Капуста білокачанна,"91,4","90,7","100,2","113,0","110,0"
85,Огірки,"69,5","113,6","147,6","141,8","141,0"
86,Помідори,"77,2","65,0","115,9","132,8","115,8"
87,Кабачки,"73,7","92,5","134,1","138,0","107,8"
88,Баклажани,"134,1","65,5","118,4","138,9","107,7"
89,Перець солодкий,"64,9","56,3","90,6","103,9","112,6"
90,Цибуля ріпчаста,"104,4","92,5","88,4","101,7","110,3"
91,Буряк,"84,4","60,9","86,7","113,0","116,7"
92,Морква,"117,2","57,7","86,6","100,8","102,2"
93,Гриби,"104,3","106,7","117,9","98,0","96,4"
94,Бобові,"98,6","98,0","97,2","100,7","102,3"
95,Овочі консервовані (500 г),"100,6","100,3","99,6","100,5","100,3"
96,Гриби консервовані (500 г),"100,7","100,0","100,3","100,0","100,0"
97,Паста томатна (500 г),"100,6","100,6","100,3","100,0","101,0"
98,Картопля,"88,8","73,3","96,0","104,2","98,5"
99,Цукор,"106,7","103,6","99,9","96,9","101,2"
100,Мед,"103,6","101,9","100,7","101,6","101,6"
101,Шоколад (100 г),"100,6","99,5","100,2","98,9","99,5"
102,Цукерки шоколадні,"100,5","100,5","100,8","101,1","100,5"
103,Карамель,"100,7","100,6","100,8","101,0","101,7"
104,Зефір,"101,1","100,6","101,1","101,3","101,2"
