"Середні споживчі ціни на продукти харчування, алкогольні напої, тютюнові вироби у 2021 році по Україні1",,,,,,
,,,,,,"(грн за кг, л)"
,,Липень,Серпень,Вересень,Жовтень,Листопад
91,Буряк,"15,12","9,29","8,03","9,06","10,55"
92,Морква,"17,73","10,29","8,91","8,99","9,19"
93,Гриби,"43,38","46,28","54,9","53,9","52,03"
94,Бобові,"18,86","18,48","18,15","18,29","18,71"
95,Овочі консервовані (500 г),"32,42","32,4","32,37","32,51","32,52"
96,Гриби консервовані (500 г),"62,42","62,48","62,87","62,9","62,74"
97,Паста томатна (500 г),"30,14","30,31","30,39","30,38","30,6"
98,Картопля,"11,79","8,66","8,32","8,69","8,61"
99,Цукор,"27,63","28,7","28,69","27,8","28,2"
100,Мед,"139,23","142,28","143,55","146,06","148,67"
101,Шоколад (100 г),"27,72","27,62","27,95","27,69","27,62"
102,Цукерки шоколадні,"164,39","164,63","165,96","168,06","168,85"
103,Карамель,71,"71,66","72,4","73,5","74,89"
104,Зефір,"90,87","91,88","93,09","94,48","97,2"
105,Морозиво (100 г),"19,78","19,84","19,69","20,44","20,73"
106,Кетчуп томатний (500 г),"22,41","22,68","23,11","23,13","23,76"
107,Майонез (500 г),"36,73","37,62","38,56","38,97","39,52"
108,Сіль,"7,77","7,78","7,93","8,06","8,22"
109,Часник,"77,99","79,75","83,74","84,53","84,58"
110,Спеції (20 г),"7,69","7,77","7,84","7,86","7,99"
111,Супи (100 г),"20,75","20,87","20,75","20,6","20,69"
112,Молочні суміші для дитячого харчування (250 г),"80,57","80,41","80,98","81,67","82,29"
113,Кава мелена (250 г),"83,92","83,91","83,5","84,24","85,09"
114,Кава розчинна (100 г),"92,14","92,53","92,33","93,29","93,5"
115,Чай (100 г),"45,51","45,49","45,75","46,65","46,76"
116,Вода столово-мінеральна,"8,19","8,36","8,44","8,51","8,45"
117,Вода питна,"4,64","4,69","4,72","4,76","4,79"
118,Напої безалкогольні,"13,54","13,65","13,67","13,67","13,91"
119,Соки фруктово-ягідні,"27,98","28,33","28,28","28,95","29,22"
120,"Горілка (0,5 л)","93,61","93,7","93,84","94,11","94,22"
121,"Горілка преміум класу (0,5 л)","144,23","141,37","142,9","142,64","144,41"
122,"Коньяк (0,5 л)","160,23","159,81","159,6","160,96","160,3"
123,"Вина столові вітчизняні (0,75 л)","69,52","70,19","69,98","69,61","70,43"
124,"Вина столові імпортні (0,75 л)","143,04","140,85","142,27","144,62","141,58"
125,"Вина ігристі (0,75 л)","120,14","119,81","119,43","119,67","120,17"
126,"Пиво вітчизняних марок (0,5 л)","18,77","18,84","19,05","18,94","19,19"
127,"Пиво, виготовлене за ліцензією (0,5 л) ","23,06","23,08","23,1","23,28","22,89"
128,сигарети з фільтром вітчизняних марок,"48,27","48,85","49,49","50,02","50,55"
129,сигарети з фільтром медіум класу,"56,19","56,54","57,25","57,79","58,44"
130,сигарети з фільтром преміум класу,"63,05","63,63","64,4","65,19","66,09"
131,сигарети без фільтру,"43,49","43,87","44,14","44,77","44,87"
,,,,,,
"       1 Без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.

",,,,,,
"       Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін і, відповідно до мети спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій та визначення переможців під час проведення торгів згідно з процедурами, встановленими Законом України ""Про публічні закупівлі"".",,,,,,
