"name","month","price","measure","mode","category","inflation_dynamic","inflation","short_name","picture"
"риба річна","2021-08-01",118,"Q1",1,"риба та морепродукти",98.4,100,"риба річна","fish.png"
"сосиски, сардельки вищого ґатунку","2021-08-01",170.411666666667,"Q1",1,"ковбасні вироби",99.927,100,"сосиски, сардельки в/ґ","sausage.png"
"сосиски, сардельки першого ґатунку","2021-08-01",104.54,"Q1",1,"ковбасні вироби",102.1,100,"сосиски, сардельки 1/ґ","sausage.png"
"ковбаси сирокопчені в/ґ","2021-08-01",353.838961038961,"Q1",1,"ковбасні вироби",93.4,100,"ковбаси сирокопчені в/ґ","sausage.png"
"ковбаси варені вищого ґатунку","2021-08-01",152.975,"Q1",1,"ковбасні вироби",96.2,100,"ковбаси варені в/ґ","sausage.png"
"ковбаси варено-копчені в/ґ","2021-08-01",247.206071428571,"Q1",1,"ковбасні вироби",110,100,"ковбаси варено-копчені в/ґ","sausage.png"
"ковбаси варені першого ґатунку","2021-08-01",104.130714285714,"Q1",1,"ковбасні вироби",97.7,100,"ковбаси варені 1/ґ","sausage.png"
"вироби з м’яса делікатесні","2021-08-01",270.06,"Q1",1,"ковбасні вироби",109.5,100,"м’ясні делікатеси","sausage.png"
"оселедці","2021-08-01",156.5875,"Q1",0.18,"риба та морепродукти",102.7,100,"оселедці","fish.png"
"скумбрія копчена","2021-08-01",184.9,"Q1",1,"риба та морепродукти",94.3,100,"скумбрія копчена","fish.png"
"ікра червона","2021-08-01",384.375,"Q1",0.1,"риба та морепродукти",30,100,"ікра червона","fish.png"
"морепродукти","2021-08-01",214.5,"Q1",0.2,"риба та морепродукти",95.3,100,"морепродукти","fish.png"
"риба морожена","2021-08-01",79,"Q1",1,"риба та морепродукти",133,100,"риба морожена","fish.png"
"філе мороженої риби","2021-08-01",129.071428571429,"Q1",0.7,"риба та морепродукти",100,100,"філе мороженої риби","fish.png"
"броколі заморожена","2021-08-01",111.4375,"Q1",0.4,"овочі заморожені",123,100,"броколі заморожена","vegetables.png"
"мед","2021-08-01",154,"Q1",0.25,"солодощі",101.7,100,"мед","sweets.png"
"крупи гречані","2021-08-01",50.590625,"Q1",1,"бакалея",100,100,"крупи гречані","groceries.png"
"рис","2021-08-01",40.2132547169811,"Q1",1,"бакалея",97.2,100,"рис","groceries.png"
"пластівці вівсяні","2021-08-01",43.63125,"Q1",0.5,"бакалея",158,100,"пластівці вівсяні","groceries.png"
"крупи манні","2021-08-01",19.3,"Q1",1,"бакалея",100.59,100,"крупи манні","groceries.png"
"пшоно","2021-08-01",20.41,"Q1",1,"бакалея",104.7,100,"пшоно","groceries.png"
"крупи ячні","2021-08-01",17.818125,"Q1",0.8,"бакалея",97.4,100,"крупи ячні","groceries.png"
"квасоля","2021-08-01",90.175,"Q1",0.2,"бакалея",100,100,"квасоля","groceries.png"
"макарони","2021-08-01",52.96,"Q1",0.5,"бакалея",96.6,100,"макарони","groceries.png"
"борошно пшеничне","2021-08-01",17.35,"Q1",1,"бакалея",112,100,"борошно пшеничне","groceries.png"
"цукор","2021-08-01",29.555,"Q1",0.005,"бакалея",105.6,100,"цукор","groceries.png"
"ром","2021-08-01",402.74,"Q1",0.7,"алкоголь",115,100,"ром","alcohol.png"
"супи","2021-08-01",187.5,"Q1",0.05,"бакалея",93.8,100,"супи","groceries.png"
"сіль","2021-08-01",26.6,"Q1",0.5,"соуси та спеції",94.6,100,"сіль","species.png"
