"name","month","price","measure","category","inflation_dynamic","inflation"
"хліб цільнозерновий","2021-11-01",56.1666666666667,"Q1","хліб",100,110
"хліб житньо-пшеничний","2021-11-01",46.075,"Q1","хліб",100,96.6
"хліб пшеничний","2021-11-01",34.4166666666667,"Q1","хліб",100,98.1
"торти","2021-11-01",175,"Q1","солодощі",100,82
"банани","2021-11-01",27.8,"Q1","фрукти",100,101.6
"мандарини","2021-11-01",38.5,"Q1","фрукти",100,103.9
"авокадо","2021-11-01",58,"Q1","фрукти",100,250
"виноград","2021-11-01",46.9,"Q1","фрукти",100,99.26
"апельсини","2021-11-01",42.9,"Q1","фрукти",100,96.4
"яблука","2021-11-01",16.35,"Q1","фрукти",100,97.3
"ківі","2021-11-01",44.55,"Q1","фрукти",100,60
"лимони","2021-11-01",24.9,"Q1","фрукти",100,72
"ягоди","2021-11-01",145.75,"Q1","фрукти",100,43
"кавуни","2021-11-01",8.9,"Q1","фрукти",100,144
"цибуля ріпчаста","2021-11-01",16.9,"Q1","овочі",100,122
"морква","2021-11-01",15.975,"Q1","овочі",100,210
"перець солодкий","2021-11-01",39.15,"Q1","овочі",100,157
"буряк","2021-11-01",8.9,"Q1","овочі",100,113
"капуста білокачанна","2021-11-01",7.925,"Q1","овочі",100,131
"кабачки","2021-11-01",54.9,"Q1","овочі",100,240
"картопля","2021-11-01",12.8,"Q1","овочі",100,100.039
"баклажани","2021-11-01",49.5,"Q1","овочі",100,150
"часник","2021-11-01",64.65,"Q1","овочі",100,198
"помідори","2021-11-01",119.6,"Q1","овочі",100,63
"огірки","2021-11-01",29.8833333333333,"Q1","овочі",100,85
"гриби","2021-11-01",69.375,"Q1","овочі",100,96.9
"салати","2021-11-01",153.428571428571,"Q1","овочі",100,101.1
"сухофрукти","2021-11-01",169.091666666667,"Q1","сухофрукти",100,108.4
"цукати","2021-11-01",265.133333333333,"Q1","солодощі",100,100
"сири розсольні","2021-11-01",196.725869565217,"Q1","молочна продукція та яйця",100,110
"сири плавлені","2021-11-01",194,"Q1","молочна продукція та яйця",100,99
"крем-сир","2021-11-01",259.846153846154,"Q1","молочна продукція та яйця",100,103.4
"молоко пастеризоване жирністю до 2,6% включно","2021-11-01",31.6675,"Q1","молочна продукція та яйця",100,109.1
"молоко з підвищеним вмістом жиру","2021-11-01",32.87,"Q1","молочна продукція та яйця",100,100
"сири м’які нежирні","2021-11-01",132.878787878788,"Q1","молочна продукція та яйця",100,103.3
"сири м’які жирні","2021-11-01",139.511904761905,"Q1","молочна продукція та яйця",100,102.3
"сирки та сиркова маса","2021-11-01",136.675,"Q1","молочна продукція та яйця",100,94.7
"сметана жирністю до 15% включно","2021-11-01",74.9889758179232,"Q1","молочна продукція та яйця",100,96.8
"сметана з підвищеним вмістом жиру","2021-11-01",93.6,"Q1","молочна продукція та яйця",100,98.7
"йогурт","2021-11-01",62.6086956521739,"Q1","молочна продукція та яйця",100,108.1
"морозиво","2021-11-01",181.142857142857,"Q1","солодощі",100,105.3
"кефір 2.5%","2021-11-01",33.3561403508772,"Q1","молочна продукція та яйця",100,97
"масло вершкове 82%","2021-11-01",279.95,"Q1","молочна продукція та яйця",100,101.1
"масло вершкове 73%","2021-11-01",236.277777777778,"Q1","молочна продукція та яйця",100,98.7
"маргарин","2021-11-01",83.2,"Q1","молочна продукція та яйця",100,99.52
"яйця","2021-11-01",34.45,"Q1","молочна продукція та яйця",100,95.5
"філе куряче","2021-11-01",129.9,"Q1","м’ясо",100,102.5
"свинина","2021-11-01",118.7375,"Q1","м’ясо",100,97.4
"свинина гуляш","2021-11-01",105.95,"Q1","м’ясо",100,96.4
"яловичина фарш","2021-11-01",160.68,"Q1","м’ясо",100,103
"свинина ребра","2021-11-01",121.45,"Q1","м’ясо",100,114
"субпродукти яловичні","2021-11-01",35.95,"Q1","м’ясо",100,109.1
"вирізка свиняча","2021-11-01",172.45,"Q1","м’ясо",100,99.71
"свинина фарш","2021-11-01",104.925,"Q1","м’ясо",100,95.9
"яловичина","2021-11-01",232.95,"Q1","м’ясо",100,106.9
"субпродукти свинячі","2021-11-01",37.84,"Q1","м’ясо",100,99.82
"яловичина ребра","2021-11-01",136.95,"Q1","м’ясо",100,100
"сало","2021-11-01",116.36,"Q1","м’ясо",100,70
"вирізка яловича","2021-11-01",425.95,"Q1","м’ясо",100,89
"риба червона","2021-11-01",369,"Q1","риба та морепродукти",100,112
"риба річна","2021-11-01",69,"Q1","риба та морепродукти",100,63
"сосиски, сардельки вищого ґатунку","2021-11-01",178.0825,"Q1","ковбасні вироби",100,102.3
"сосиски, сардельки першого ґатунку","2021-11-01",114.985,"Q1","ковбасні вироби",100,110
"ковбаси сирокопчені в/ґ","2021-11-01",394.4025,"Q1","ковбасні вироби",100,105.1
"ковбаси варені вищого ґатунку","2021-11-01",161.06,"Q1","ковбасні вироби",100,97.5
"ковбаси варено-копчені в/ґ","2021-11-01",221.94,"Q1","ковбасні вироби",100,96.5
"ковбаси варені першого ґатунку","2021-11-01",106.83,"Q1","ковбасні вироби",100,100
"вироби з м’яса делікатесні","2021-11-01",253.29,"Q1","ковбасні вироби",100,100.16
"оселедці","2021-11-01",143.229166666667,"Q1","риба та морепродукти",100,95.8
"скумбрія копчена","2021-11-01",207.8,"Q1","риба та морепродукти",100,90
"морепродукти","2021-11-01",182.875,"Q1","риба та морепродукти",100,92.8
"ікра червона","2021-11-01",1362.5,"Q1","риба та морепродукти",100,117
"вино червоне сухе","2021-11-01",158.666666666667,"Q1","алкоголь",100,108.2
"вино біле сухе","2021-11-01",151.5,"Q1","алкоголь",100,99.54
"сіль","2021-11-01",27.8571428571429,"Q1","соуси та спеції",100,99.07
"пиво","2021-11-01",42.52,"Q1","алкоголь",100,114
"мед","2021-11-01",159.72,"Q1","солодощі",100,93.7
"крупи гречані","2021-11-01",50.0175,"Q1","бакалея",100,99.64
"рис","2021-11-01",49.535,"Q1","бакалея",100,122
"пластівці вівсяні","2021-11-01",34.25,"Q1","бакалея",100,99.05
"крупи манні","2021-11-01",19.15,"Q1","бакалея",100,99.61
"пшоно","2021-11-01",20.41,"Q1","бакалея",100,102.3
"квасоля","2021-11-01",88.4125,"Q1","бакалея",100,98.2
"крупи ячні","2021-11-01",17.818125,"Q1","бакалея",100,100
"макарони","2021-11-01",48.275,"Q1","бакалея",100,100
"борошно пшеничне","2021-11-01",17.1,"Q1","бакалея",100,111
"цукор","2021-11-01",27.2,"Q1","бакалея",100,97.2
"ром","2021-11-01",402.726428571429,"Q1","алкоголь",100,99.9966
"коньяк","2021-11-01",306.52,"Q1","алкоголь",100,100.89
"супи","2021-11-01",206.731818181818,"Q1","бакалея",100,104.1
"віскі","2021-11-01",507.092857142857,"Q1","алкоголь",100,89
"шампанське","2021-11-01",146.533333333333,"Q1","алкоголь",100,100.41
"горілка","2021-11-01",184,"Q1","алкоголь",100,102.2
"майонез","2021-11-01",71.6666666666667,"Q1","соуси та спеції",100,95.6
"паста томатна","2021-11-01",53.6544072164948,"Q1","соуси та спеції",100,82
"кетчуп томатний","2021-11-01",44.75,"Q1","соуси та спеції",100,96.6
"олія соняшникова","2021-11-01",63,"Q1","олія",100,93
"олія оливкова","2021-11-01",328.06,"Q1","олія",100,96.3
"консерви рибні в олії","2021-11-01",214.666666666667,"Q1","риба та морепродукти",100,92.3
"кукурудза консервована","2021-11-01",82.3474264705882,"Q1","консервовані овочі і гриби",100,94
"горошок консервований","2021-11-01",58.7764705882353,"Q1","консервовані овочі і гриби",100,89
"гриби консервовані","2021-11-01",117.534246575342,"Q1","консервовані овочі і гриби",100,107.2
"карамель","2021-11-01",75.67,"Q1","солодощі",100,106.1
"зефір","2021-11-01",106.25,"Q1","солодощі",100,93.5
"цукерки шоколадні","2021-11-01",332.529411764706,"Q1","солодощі",100,90
"вафлі","2021-11-01",121.759259259259,"Q1","солодощі",100,99.71
"печиво здобне","2021-11-01",104.828571428571,"Q1","солодощі",100,100
"печиво затяжне","2021-11-01",74.99,"Q1","солодощі",100,114
"сік апельсиновий","2021-11-01",38.8,"Q1","безалкогольні напої",100,112
"сік яблучний","2021-11-01",24.1052631578947,"Q1","безалкогольні напої",100,93.1
"кава мелена","2021-11-01",279.8,"Q1","кава і чай",100,96.3
"кава розчинна","2021-11-01",844.333333333333,"Q1","кава і чай",100,100.97
"чай у пакетиках","2021-11-01",568.8,"Q1","кава і чай",100,100
"солодка вода","2021-11-01",14.4,"Q1","безалкогольні напої",100,103.6
"сигарети з фільтром медіум класу","2021-11-01",59,"Q1","сигарети",100,99.37
"сигарети з фільтром преміум класу","2021-11-01",63.5,"Q1","сигарети",100,101.6
"рис","2021-11-01",28.2,"govstat",NA,100,NA
"хліб пшеничний з борошна вищого ґатунку","2021-11-01",32.41,"govstat",NA,100,NA
"хліб пшеничний з борошна першого ґатунку","2021-11-01",25.78,"govstat",NA,100,NA
"хліб житній, житньо-пшеничний","2021-11-01",26.69,"govstat",NA,100,NA
"хліб заварний","2021-11-01",21.63,"govstat",NA,100,NA
"батон","2021-11-01",17.55,"govstat",NA,100,NA
"багет","2021-11-01",11.95,"govstat",NA,100,NA
"макаронні вироби з твердих сортів пшениці","2021-11-01",29.85,"govstat",NA,100,NA
"макаронні вироби з м’яких сортів пшениці","2021-11-01",23.89,"govstat",NA,100,NA
"пельмені ","2021-11-01",107.83,"govstat",NA,100,NA
"здобні вироби","2021-11-01",10.74,"govstat",NA,100,NA
"вафлі","2021-11-01",89.38,"govstat",NA,100,NA
"печиво здобне","2021-11-01",90.79,"govstat",NA,100,NA
"печиво сухе","2021-11-01",70.38,"govstat",NA,100,NA
"торти","2021-11-01",184.21,"govstat",NA,100,NA
"борошно пшеничне","2021-11-01",14.66,"govstat",NA,100,NA
"крупи манні","2021-11-01",17.69,"govstat",NA,100,NA
"крупи гречані","2021-11-01",46.33,"govstat",NA,100,NA
"пластівці вівсяні","2021-11-01",30.19,"govstat",NA,100,NA
"крупи ячні","2021-11-01",15.44,"govstat",NA,100,NA
"пшоно","2021-11-01",18.14,"govstat",NA,100,NA
"яловичина","2021-11-01",179.37,"govstat",NA,100,NA
"вирізка яловича","2021-11-01",247.43,"govstat",NA,100,NA
"натуральні напівфабрикати з яловичини","2021-11-01",192.66,"govstat",NA,100,NA
"свинина","2021-11-01",123.84,"govstat",NA,100,NA
"вирізка свиняча","2021-11-01",152.74,"govstat",NA,100,NA
"натуральні напівфабрикати зі свинини","2021-11-01",138.38,"govstat",NA,100,NA
"птиця (тушки курячі)","2021-11-01",71.02,"govstat",NA,100,NA
"окремі порційні частини курячі","2021-11-01",72.66,"govstat",NA,100,NA
"філе куряче","2021-11-01",117.41,"govstat",NA,100,NA
"ковбаси варені вищого ґатунку","2021-11-01",175.94,"govstat",NA,100,NA
"ковбаси варені першого ґатунку","2021-11-01",116.41,"govstat",NA,100,NA
"сосиски, сардельки вищого ґатунку","2021-11-01",166.76,"govstat",NA,100,NA
"сосиски, сардельки першого ґатунку","2021-11-01",121.91,"govstat",NA,100,NA
"ковбаси варено-копчені","2021-11-01",208.46,"govstat",NA,100,NA
"ковбаси сирокопчені","2021-11-01",352.59,"govstat",NA,100,NA
"вироби з м’яса варено-копчені","2021-11-01",227.95,"govstat",NA,100,NA
"вироби з м’яса делікатесні","2021-11-01",275.26,"govstat",NA,100,NA
"субпродукти яловичі","2021-11-01",68.55,"govstat",NA,100,NA
"субпродукти свинячі","2021-11-01",40.4,"govstat",NA,100,NA
"субпродукти курячі","2021-11-01",74.25,"govstat",NA,100,NA
"фарш м’ясний","2021-11-01",110.25,"govstat",NA,100,NA
"фарш курячий","2021-11-01",110.01,"govstat",NA,100,NA
"вироби з м’яса кулінарні","2021-11-01",75.33,"govstat",NA,100,NA
"риба жива, охолоджена","2021-11-01",59.63,"govstat",NA,100,NA
"риба морожена","2021-11-01",87.49,"govstat",NA,100,NA
"філе мороженої риби","2021-11-01",112.26,"govstat",NA,100,NA
"морепродукти","2021-11-01",188.35,"govstat",NA,100,NA
"кілька солона","2021-11-01",55.02,"govstat",NA,100,NA
"скумбрія копчена","2021-11-01",171.76,"govstat",NA,100,NA
"оселедці","2021-11-01",73.71,"govstat",NA,100,NA
"консерви рибні в олії","2021-11-01",49.14,"govstat",NA,100,NA
"крабові палички","2021-11-01",43.41,"govstat",NA,100,NA
"молоко пастеризоване жирністю до 2,6% включно","2021-11-01",27.96,"govstat",NA,100,NA
"молоко з підвищеним вмістом жиру","2021-11-01",28.81,"govstat",NA,100,NA
"кефір","2021-11-01",30.71,"govstat",NA,100,NA
"йогурт","2021-11-01",22.09,"govstat",NA,100,NA
"сири тверді типу едам","2021-11-01",244.5,"govstat",NA,100,NA
"сири тверді типу емменталь","2021-11-01",274.74,"govstat",NA,100,NA
"сири розсольні","2021-11-01",200.26,"govstat",NA,100,NA
"сири плавлені","2021-11-01",17.24,"govstat",NA,100,NA
"сири м’які нежирні","2021-11-01",126.43,"govstat",NA,100,NA
"сири м’які жирні","2021-11-01",124.25,"govstat",NA,100,NA
"сирки та сиркова маса","2021-11-01",15.46,"govstat",NA,100,NA
"сметана жирністю до 15% включно","2021-11-01",74.43,"govstat",NA,100,NA
"сметана з підвищеним вмістом жиру","2021-11-01",92.94,"govstat",NA,100,NA
"яйця (десяток)","2021-11-01",30.63,"govstat",NA,100,NA
"масло вершкове","2021-11-01",49.93,"govstat",NA,100,NA
"спреди","2021-11-01",20.31,"govstat",NA,100,NA
"маргарин","2021-11-01",16.34,"govstat",NA,100,NA
"олія оливкова","2021-11-01",300.01,"govstat",NA,100,NA
"олія соняшникова","2021-11-01",62.32,"govstat",NA,100,NA
"сало","2021-11-01",96.12,"govstat",NA,100,NA
"лимони","2021-11-01",32.69,"govstat",NA,100,NA
"апельсини","2021-11-01",40.96,"govstat",NA,100,NA
"банани","2021-11-01",28.02,"govstat",NA,100,NA
"яблука","2021-11-01",13.09,"govstat",NA,100,NA
"виноград","2021-11-01",50.84,"govstat",NA,100,NA
"ківі","2021-11-01",51.63,"govstat",NA,100,NA
"сухофрукти","2021-11-01",143.37,"govstat",NA,100,NA
"салати","2021-11-01",175.88,"govstat",NA,100,NA
"капуста білокачанна","2021-11-01",8.31,"govstat",NA,100,NA
"огірки","2021-11-01",45.62,"govstat",NA,100,NA
"помідори","2021-11-01",34.29,"govstat",NA,100,NA
"перець солодкий","2021-11-01",59.3,"govstat",NA,100,NA
"цибуля ріпчаста","2021-11-01",10.61,"govstat",NA,100,NA
"буряк","2021-11-01",10.55,"govstat",NA,100,NA
"морква","2021-11-01",9.19,"govstat",NA,100,NA
"гриби","2021-11-01",52.03,"govstat",NA,100,NA
"бобові","2021-11-01",18.71,"govstat",NA,100,NA
"овочі консервовані","2021-11-01",32.52,"govstat",NA,100,NA
"гриби консервовані","2021-11-01",62.74,"govstat",NA,100,NA
"паста томатна","2021-11-01",30.6,"govstat",NA,100,NA
"картопля","2021-11-01",8.61,"govstat",NA,100,NA
"цукор","2021-11-01",28.2,"govstat",NA,100,NA
"мед","2021-11-01",148.67,"govstat",NA,100,NA
"шоколад","2021-11-01",27.62,"govstat",NA,100,NA
"цукерки шоколадні","2021-11-01",168.85,"govstat",NA,100,NA
"карамель","2021-11-01",74.89,"govstat",NA,100,NA
"зефір","2021-11-01",97.2,"govstat",NA,100,NA
"морозиво","2021-11-01",20.73,"govstat",NA,100,NA
"кетчуп томатний","2021-11-01",23.76,"govstat",NA,100,NA
"майонез","2021-11-01",39.52,"govstat",NA,100,NA
"сіль","2021-11-01",8.22,"govstat",NA,100,NA
"часник","2021-11-01",84.58,"govstat",NA,100,NA
"спеції","2021-11-01",7.99,"govstat",NA,100,NA
"супи","2021-11-01",20.69,"govstat",NA,100,NA
"молочні суміші для дитячого харчування","2021-11-01",82.29,"govstat",NA,100,NA
"кава мелена","2021-11-01",85.09,"govstat",NA,100,NA
"кава розчинна","2021-11-01",93.5,"govstat",NA,100,NA
"чай","2021-11-01",46.76,"govstat",NA,100,NA
"вода столово-мінеральна","2021-11-01",8.45,"govstat",NA,100,NA
"вода питна","2021-11-01",4.79,"govstat",NA,100,NA
"напої безалкогольні","2021-11-01",13.91,"govstat",NA,100,NA
"соки фруктово-ягідні","2021-11-01",29.22,"govstat",NA,100,NA
"горілка","2021-11-01",94.22,"govstat",NA,100,NA
"горілка преміум класу","2021-11-01",144.41,"govstat",NA,100,NA
"коньяк","2021-11-01",160.3,"govstat",NA,100,NA
"вина столові вітчизняні","2021-11-01",70.43,"govstat",NA,100,NA
"вина столові імпортні","2021-11-01",141.58,"govstat",NA,100,NA
"вина ігристі","2021-11-01",120.17,"govstat",NA,100,NA
"пиво вітчизняних марок","2021-11-01",19.19,"govstat",NA,100,NA
"пиво, виготовлене за ліцензією","2021-11-01",22.89,"govstat",NA,100,NA
"сигарети з фільтром вітчизняних марок","2021-11-01",50.55,"govstat",NA,100,NA
"сигарети з фільтром медіум класу","2021-11-01",58.44,"govstat",NA,100,NA
"сигарети з фільтром преміум класу","2021-11-01",66.09,"govstat",NA,100,NA
"сигарети без фільтру","2021-11-01",44.87,"govstat",NA,100,NA
"рис","2021-10-01",27.88,"govstat",NA,98.9,NA
"хліб пшеничний з борошна вищого ґатунку","2021-10-01",31.57,"govstat",NA,97.4,NA
"хліб пшеничний з борошна першого ґатунку","2021-10-01",25.18,"govstat",NA,97.7,NA
"хліб житній, житньо-пшеничний","2021-10-01",26.05,"govstat",NA,97.6,NA
"хліб заварний","2021-10-01",21.2,"govstat",NA,98,NA
"батон","2021-10-01",17.1,"govstat",NA,97.4,NA
"багет","2021-10-01",11.79,"govstat",NA,98.7,NA
"макаронні вироби з твердих сортів пшениці","2021-10-01",29.48,"govstat",NA,98.8,NA
"макаронні вироби з м’яких сортів пшениці","2021-10-01",23.3,"govstat",NA,97.5,NA
"пельмені ","2021-10-01",106.71,"govstat",NA,99,NA
"здобні вироби","2021-10-01",10.56,"govstat",NA,98.3,NA
"вафлі","2021-10-01",87.91,"govstat",NA,98.4,NA
"печиво здобне","2021-10-01",88.97,"govstat",NA,98,NA
"печиво сухе","2021-10-01",68.69,"govstat",NA,97.6,NA
"торти","2021-10-01",179.55,"govstat",NA,97.5,NA
"борошно пшеничне","2021-10-01",14.48,"govstat",NA,98.8,NA
"крупи манні","2021-10-01",17.29,"govstat",NA,97.7,NA
"крупи гречані","2021-10-01",43.44,"govstat",NA,93.8,NA
"пластівці вівсяні","2021-10-01",29.59,"govstat",NA,98,NA
"крупи ячні","2021-10-01",15.06,"govstat",NA,97.5,NA
"пшоно","2021-10-01",17.48,"govstat",NA,96.4,NA
"яловичина","2021-10-01",175.51,"govstat",NA,97.8,NA
"вирізка яловича","2021-10-01",241.36,"govstat",NA,97.5,NA
"натуральні напівфабрикати з яловичини","2021-10-01",190.02,"govstat",NA,98.6,NA
"свинина","2021-10-01",124.58,"govstat",NA,100.6,NA
"вирізка свиняча","2021-10-01",153.08,"govstat",NA,100.22,NA
"натуральні напівфабрикати зі свинини","2021-10-01",138.73,"govstat",NA,100.25,NA
"птиця (тушки курячі)","2021-10-01",72.42,"govstat",NA,102,NA
"окремі порційні частини курячі","2021-10-01",74.01,"govstat",NA,101.9,NA
"філе куряче","2021-10-01",117.47,"govstat",NA,100.051,NA
"ковбаси варені вищого ґатунку","2021-10-01",171.9,"govstat",NA,97.7,NA
"ковбаси варені першого ґатунку","2021-10-01",115.56,"govstat",NA,99.27,NA
"сосиски, сардельки вищого ґатунку","2021-10-01",160.86,"govstat",NA,96.5,NA
"сосиски, сардельки першого ґатунку","2021-10-01",117.66,"govstat",NA,96.5,NA
"ковбаси варено-копчені","2021-10-01",204.33,"govstat",NA,98,NA
"ковбаси сирокопчені","2021-10-01",344.66,"govstat",NA,97.8,NA
"вироби з м’яса варено-копчені","2021-10-01",223.27,"govstat",NA,97.9,NA
"вироби з м’яса делікатесні","2021-10-01",267.97,"govstat",NA,97.4,NA
"субпродукти яловичі","2021-10-01",67.37,"govstat",NA,98.3,NA
"субпродукти свинячі","2021-10-01",40.26,"govstat",NA,99.65,NA
"субпродукти курячі","2021-10-01",73.97,"govstat",NA,99.62,NA
"фарш м’ясний","2021-10-01",109.76,"govstat",NA,99.56,NA
"фарш курячий","2021-10-01",108.56,"govstat",NA,98.7,NA
"вироби з м’яса кулінарні","2021-10-01",73.75,"govstat",NA,97.9,NA
"риба жива, охолоджена","2021-10-01",59.08,"govstat",NA,99.08,NA
"риба морожена","2021-10-01",86.25,"govstat",NA,98.6,NA
"філе мороженої риби","2021-10-01",110.38,"govstat",NA,98.3,NA
"морепродукти","2021-10-01",188.12,"govstat",NA,99.88,NA
"кілька солона","2021-10-01",54.61,"govstat",NA,99.25,NA
"скумбрія копчена","2021-10-01",170.43,"govstat",NA,99.23,NA
"оселедці","2021-10-01",72.76,"govstat",NA,98.7,NA
"консерви рибні в олії","2021-10-01",49.09,"govstat",NA,99.9,NA
"крабові палички","2021-10-01",42.3,"govstat",NA,97.4,NA
"молоко пастеризоване жирністю до 2,6% включно","2021-10-01",27.63,"govstat",NA,98.8,NA
"молоко з підвищеним вмістом жиру","2021-10-01",27.76,"govstat",NA,96.4,NA
"кефір","2021-10-01",30.06,"govstat",NA,97.9,NA
"йогурт","2021-10-01",21.57,"govstat",NA,97.6,NA
"сири тверді типу едам","2021-10-01",237.03,"govstat",NA,96.9,NA
"сири тверді типу емменталь","2021-10-01",277.52,"govstat",NA,101,NA
"сири розсольні","2021-10-01",196,"govstat",NA,97.9,NA
"сири плавлені","2021-10-01",16.97,"govstat",NA,98.4,NA
"сири м’які нежирні","2021-10-01",124.5,"govstat",NA,98.5,NA
"сири м’які жирні","2021-10-01",120.22,"govstat",NA,96.8,NA
"сирки та сиркова маса","2021-10-01",15.25,"govstat",NA,98.6,NA
"сметана жирністю до 15% включно","2021-10-01",72.96,"govstat",NA,98,NA
"сметана з підвищеним вмістом жиру","2021-10-01",91.3,"govstat",NA,98.2,NA
"масло вершкове","2021-10-01",49.13,"govstat",NA,98.4,NA
"спреди","2021-10-01",20.06,"govstat",NA,98.8,NA
"маргарин","2021-10-01",16.25,"govstat",NA,99.45,NA
"олія оливкова","2021-10-01",301.08,"govstat",NA,100.36,NA
"олія соняшникова","2021-10-01",62.69,"govstat",NA,100.59,NA
"сало","2021-10-01",90.24,"govstat",NA,93.9,NA
"лимони","2021-10-01",38.03,"govstat",NA,116,NA
"апельсини","2021-10-01",44.82,"govstat",NA,109.4,NA
"банани","2021-10-01",27.25,"govstat",NA,97.3,NA
"яблука","2021-10-01",14.84,"govstat",NA,113,NA
"виноград","2021-10-01",48.09,"govstat",NA,94.6,NA
"ківі","2021-10-01",69.88,"govstat",NA,135,NA
"сухофрукти","2021-10-01",136.11,"govstat",NA,94.9,NA
"салати","2021-10-01",172.04,"govstat",NA,97.8,NA
"капуста білокачанна","2021-10-01",7.54,"govstat",NA,90.7,NA
"огірки","2021-10-01",32.09,"govstat",NA,70,NA
"помідори","2021-10-01",29.47,"govstat",NA,86,NA
"кабачки","2021-10-01",17.51,"govstat",NA,100,NA
"баклажани","2021-10-01",23.65,"govstat",NA,100,NA
"перець солодкий","2021-10-01",25.45,"govstat",NA,43,NA
"цибуля ріпчаста","2021-10-01",9.59,"govstat",NA,90.4,NA
"буряк","2021-10-01",9.06,"govstat",NA,86,NA
"морква","2021-10-01",8.99,"govstat",NA,97.8,NA
"гриби","2021-10-01",53.9,"govstat",NA,103.6,NA
"бобові","2021-10-01",18.29,"govstat",NA,97.8,NA
"овочі консервовані","2021-10-01",32.51,"govstat",NA,99.969,NA
"гриби консервовані","2021-10-01",62.9,"govstat",NA,100.26,NA
"паста томатна","2021-10-01",30.38,"govstat",NA,99.28,NA
"картопля","2021-10-01",8.69,"govstat",NA,100.93,NA
"цукор","2021-10-01",27.8,"govstat",NA,98.6,NA
"мед","2021-10-01",146.06,"govstat",NA,98.2,NA
"шоколад","2021-10-01",27.69,"govstat",NA,100.25,NA
"цукерки шоколадні","2021-10-01",168.06,"govstat",NA,99.53,NA
"карамель","2021-10-01",73.5,"govstat",NA,98.1,NA
"зефір","2021-10-01",94.48,"govstat",NA,97.2,NA
"морозиво","2021-10-01",20.44,"govstat",NA,98.6,NA
"кетчуп томатний","2021-10-01",23.13,"govstat",NA,97.3,NA
"майонез","2021-10-01",38.97,"govstat",NA,98.6,NA
"сіль","2021-10-01",8.06,"govstat",NA,98.1,NA
"часник","2021-10-01",84.53,"govstat",NA,99.941,NA
"спеції","2021-10-01",7.86,"govstat",NA,98.4,NA
"супи","2021-10-01",20.6,"govstat",NA,99.57,NA
"молочні суміші для дитячого харчування","2021-10-01",81.67,"govstat",NA,99.25,NA
"кава мелена","2021-10-01",84.24,"govstat",NA,99,NA
"кава розчинна","2021-10-01",93.29,"govstat",NA,99.78,NA
"чай","2021-10-01",46.65,"govstat",NA,99.76,NA
"вода столово-мінеральна","2021-10-01",8.51,"govstat",NA,100.71,NA
"вода питна","2021-10-01",4.76,"govstat",NA,99.37,NA
"напої безалкогольні","2021-10-01",13.67,"govstat",NA,98.3,NA
"соки фруктово-ягідні","2021-10-01",28.95,"govstat",NA,99.08,NA
"горілка","2021-10-01",94.11,"govstat",NA,99.88,NA
"горілка преміум класу","2021-10-01",142.64,"govstat",NA,98.8,NA
"коньяк","2021-10-01",160.96,"govstat",NA,100.41,NA
"вина столові вітчизняні","2021-10-01",69.61,"govstat",NA,98.8,NA
"вина столові імпортні","2021-10-01",144.62,"govstat",NA,102.1,NA
"вина ігристі","2021-10-01",119.67,"govstat",NA,99.58,NA
"пиво вітчизняних марок","2021-10-01",18.94,"govstat",NA,98.7,NA
"пиво, виготовлене за ліцензією","2021-10-01",23.28,"govstat",NA,101.7,NA
"сигарети з фільтром вітчизняних марок","2021-10-01",50.02,"govstat",NA,99,NA
"сигарети з фільтром медіум класу","2021-10-01",57.79,"govstat",NA,98.9,NA
"сигарети з фільтром преміум класу","2021-10-01",65.19,"govstat",NA,98.6,NA
"сигарети без фільтру","2021-10-01",44.77,"govstat",NA,99.78,NA
"хліб заварний","2021-10-01",21.2,"govstat",NA,100,NA
"макаронні вироби з твердих сортів пшениці","2021-10-01",29.48,"govstat",NA,100,NA
"пельмені ","2021-10-01",106.71,"govstat",NA,100,NA
"здобні вироби","2021-10-01",10.56,"govstat",NA,100,NA
"крупи ячні","2021-10-01",15.06,"govstat",NA,100,NA
"ковбаси сирокопчені","2021-10-01",344.66,"govstat",NA,100,NA
"вироби з м’яса варено-копчені","2021-10-01",223.27,"govstat",NA,100,NA
"риба жива, охолоджена","2021-10-01",59.08,"govstat",NA,100,NA
"морепродукти","2021-10-01",188.12,"govstat",NA,100,NA
"кілька солона","2021-10-01",54.61,"govstat",NA,100,NA
"консерви рибні в олії","2021-10-01",49.09,"govstat",NA,100,NA
"крабові палички","2021-10-01",42.3,"govstat",NA,100,NA
"молоко з підвищеним вмістом жиру","2021-10-01",27.76,"govstat",NA,100,NA
"йогурт","2021-10-01",21.57,"govstat",NA,100,NA
"сири плавлені","2021-10-01",16.97,"govstat",NA,100,NA
"сири м’які нежирні","2021-10-01",124.5,"govstat",NA,100,NA
"сирки та сиркова маса","2021-10-01",15.25,"govstat",NA,100,NA
"яйця (десяток)","2021-10-01",30.3,"govstat",NA,98.9,NA
"масло вершкове","2021-10-01",49.13,"govstat",NA,100,NA
"спреди","2021-10-01",20.06,"govstat",NA,100,NA
"маргарин","2021-10-01",16.25,"govstat",NA,100,NA
"бобові","2021-10-01",18.29,"govstat",NA,100,NA
"овочі консервовані","2021-10-01",32.51,"govstat",NA,100,NA
"гриби консервовані","2021-10-01",62.9,"govstat",NA,100,NA
"паста томатна","2021-10-01",30.38,"govstat",NA,100,NA
"мед","2021-10-01",146.06,"govstat",NA,100,NA
